Timestamp,gender_,chip_spice,chip_brand,bags_week,bottle_water
4/5/2024 17:02:29,Female,Spicy,Takis,2,1
4/5/2024 17:03:51,Female,Spicy,Hot-Cheetos,2,0
4/5/2024 17:24:50,Female,Spicy,Takis,1,2
4/5/2024 17:38:03,Female,Spicy,Doritos,1,1
4/5/2024 17:55:33,Female,Spicy,Lays,3,0
4/5/2024 17:57:57,Male,Spicy,Hot-Cheetos,1,5
4/5/2024 17:59:43,Female,Spicy,Hot-Cheetos,1,2
4/5/2024 18:16:09,Female,Spicy,Takis,1,1
4/5/2024 18:17:29,Female,Spicy,Lays,1,1
4/5/2024 18:46:12,Female,Spicy,Takis,4,2
4/5/2024 19:14:32,Female,Spicy,Takis,1,1
4/5/2024 19:40:09,Female,Spicy,Lays,2,3
4/5/2024 19:42:23,Female,Spicy,Doritos,1,0
4/5/2024 19:52:12,Female,Spicy,Takis,3,5
4/5/2024 20:38:34,Female,Spicy,Doritos,5,5
4/5/2024 21:22:40,Female,Spicy,Hot-Cheetos,2,2
4/6/2024 0:30:27,Female,Spicy,Takis,2,2
4/6/2024 3:09:09,Female,Spicy,Hot-Cheetos,2,3
4/6/2024 7:52:40,Female,Spicy,Hot-Cheetos,0,0
4/6/2024 10:22:47,Female,Spicy,Hot-Cheetos,2,1
4/7/2024 11:22:48,Male,Spicy,Doritos,1,0
4/6/2024 10:33:32,Female,Spicy,Hot-Cheetos,1,1
